id,label
11151,1
10992,5
12196,4
11258,8
13596,5
13166,4
14376,6
12335,8
14667,1
10394,8
12611,10
14102,8
12459,10
14551,4
11386,3
12986,7
13257,9
12901,1
12456,10
13814,3
11705,6
11936,8
13352,6
12254,10
14669,6
13163,1
13308,2
14228,1
14001,7
13768,9
12032,7
13119,3
10989,7
12351,1
10626,1
13302,8
10407,3
14309,1
12235,7
11105,10
14134,10
11559,8
12590,7
11430,2
13296,9
13545,7
13665,8
13866,4
13888,6
14520,9
11844,2
10397,4
12012,7
14540,8
11094,7
13136,8
11667,9
13475,5
11537,2
10265,7
14451,4
14646,6
11074,10
14036,4
14320,3
14636,3
13091,9
14658,2
12388,10
14258,7
13836,4
13512,8
13724,4
11619,7
13030,9
10078,2
13608,2
10559,9
11070,1
14400,4
10254,3
11914,8
13171,1
12890,8
10136,9
12844,3
12684,9
13597,3
13706,4
12317,9
11030,9
14073,10
10569,8
14288,7
12460,5
13040,7
13017,3
10730,7
10987,7
11592,10
14062,1
11948,10
13044,9
12805,4
14399,9
13230,7
10454,2
13703,7
12532,2
11113,4
14159,9
12672,8
12646,7
13872,8
13970,9
12033,7
12024,4
10189,7
10671,9
11391,9
13118,7
11295,5
13403,3
12149,8
13985,2
10668,10
13048,1
11934,3
12704,2
13611,9
10917,2
13969,8
11046,4
14523,7
10654,1
11342,9
14000,9
14174,9
12662,4
10963,7
14183,8
10278,1
12802,1
14511,10
10607,9
12783,7
11095,1
14225,3
10918,8
12058,1
11737,1
13149,7
13838,9
11083,9
11077,5
13069,10
14168,9
13841,8
10433,1
12354,3
13157,8
12172,2
11052,5
14434,3
10251,5
12836,1
11745,1
12989,7
10062,1
10796,9
14025,4
14227,2
12710,2
13598,2
10145,9
13562,2
10242,4
12071,8
13340,1
12184,7
11718,10
12690,9
11797,1
11208,9
11899,6
14301,1
12676,2
11337,4
10598,10
13436,5
12983,9
13225,2
14648,6
10159,2
11441,7
11547,4
14569,9
10376,4
12669,3
12685,8
12185,5
13851,9
12923,2
11515,10
10384,10
14406,2
12816,7
14525,7
12300,5
14630,3
11740,2
13965,1
11554,7
10819,6
10399,1
13071,9
13952,5
13227,3
14177,1
11778,4
12313,1
13208,3
10536,7
13923,2
12419,3
11389,10
11749,7
13002,4
12814,5
12227,9
11120,3
13458,1
13772,9
11666,2
14433,10
13957,8
10193,8
14175,2
11232,7
10142,1
12962,8
11034,7
10009,9
11215,8
11431,6
11148,2
12144,5
12430,4
13082,1
10168,4
12606,9
10882,7
14393,4
13854,4
14269,9
12675,1
10681,5
10369,6
11579,9
13763,10
12580,7
13021,9
13881,6
14461,4
11530,7
12307,2
10748,7
13445,8
14531,2
11958,9
12724,8
11728,3
11497,9
12718,5
12847,1
12904,7
14330,8
14241,1
10939,3
10755,1
12183,1
14350,4
12813,6
10656,7
10745,9
10567,2
10003,2
12551,3
11846,4
11266,8
10640,1
13928,6
13502,7
11487,1
13818,10
13945,3
13521,7
10540,8
12023,9
10888,9
14625,7
10171,9
12083,8
12073,2
12298,5
10348,1
